epoch,training loss,validation loss
0,560079.4580917358,122285.24454879761
1,472810.01357650757,120939.97467041016
2,464377.78314590454,119399.26487350464
3,459095.51975631714,117978.6417503357
4,455168.3839683533,116013.33436965942
5,451676.0072364807,119595.34019851685
6,449273.06635665894,114067.3123626709
7,445479.9824542999,114537.5675125122
8,442912.28854751587,115339.20264053345
9,440830.0722312927,112906.24295806885
10,438711.84453582764,113297.81623077393
11,436141.1364364624,111934.23037338257
12,435174.7006416321,112959.24175643921
13,432905.0405845642,111169.27404785156
14,430957.48109054565,112394.23698806763
15,429302.08394241333,111624.13620376587
16,428034.1495952606,111146.9755783081
17,426409.72269821167,111320.86190986633
18,425051.80460357666,111199.15522384644
19,423934.3257045746,110673.17502212524
20,422657.6943283081,110168.0858669281
21,421383.35091018677,110193.35902404785
22,420339.60788345337,110462.20526885986
23,419424.7934913635,110203.57000350952
24,418441.6530685425,110066.66499710083
25,417372.80655670166,110279.06786727905
26,416626.61419296265,110093.79201126099
27,416093.8833427429,110624.8006324768
28,415172.0412578583,109827.39744567871
29,414434.3510246277,109975.43230438232
30,413957.94636154175,109777.79413604736
31,413292.2384109497,109966.41606140137
32,412664.5954589844,109734.30984687805
33,411991.48373794556,111108.84321975708
34,411579.08210754395,110286.40044784546
35,410987.69886016846,110176.51831817627
36,410610.44397735596,110459.1378364563
37,410093.91622161865,109846.05701065063
38,409648.15829467773,109886.01120376587
39,409164.05598449707,109813.27209091187
40,408784.6874694824,109837.17191314697
41,408469.19442367554,110065.92841720581
42,408241.0520629883,110099.98138046265
43,407927.49534606934,110198.67517089844
44,407570.1874694824,110125.18842697144
45,407266.6649570465,109963.56265258789
46,407093.9336013794,110070.47164154053
47,406771.9421348572,110118.40032958984
48,406582.2103652954,110039.60893249512
49,406356.09550094604,110158.4118270874
50,406155.2155456543,110245.28636932373
51,405969.9307937622,110308.4404258728
52,405754.83195877075,110150.62063217163
53,405598.7989501953,110405.24851608276
54,405487.3880958557,110350.8253288269
55,405313.80209732056,110161.04079437256
56,405193.2377128601,110135.57263946533
57,405033.6474723816,110283.69351959229
58,404951.8665332794,110134.30403137207
59,404839.2113456726,110211.5717010498
60,404729.43368148804,110367.5019569397
61,404627.73990631104,110225.77978515625
62,404529.7547683716,110365.43061828613
63,404424.536693573,110492.82726287842
64,404359.2384490967,110333.84020614624
65,404266.1736907959,110522.74736022949
66,404257.0140953064,110371.12789535522
67,404173.462852478,110397.26947402954
68,404079.5795440674,110320.20381164551
69,404045.407951355,110276.39162445068
70,403969.66773986816,110312.27724075317
71,403957.8242149353,110350.64873886108
72,403884.41037368774,110297.7364692688
73,403832.49001312256,110266.51964187622
74,403810.11840057373,110331.4842414856
