epoch,training loss,validation loss
0,12.150712497532368,1.1201833598315716
1,10.824434991925955,1.1138994917273521
2,10.898809105157852,1.1149374544620514
3,10.811311095952988,1.1006794422864914
4,10.762811370193958,1.1031764596700668
5,10.779601160436869,1.1532537713646889
6,10.764027882367373,1.1237500868737698
7,10.762195829302073,1.1279187984764576
8,10.7890055924654,1.1179326623678207
9,10.710790656507015,1.1091287173330784
10,10.706674691289663,1.1035184934735298
11,10.726778600364923,1.1046306602656841
12,10.711874093860388,1.118948481976986
13,10.725610859692097,1.1049629636108875
14,10.666695710271597,1.1208357401192188
15,10.689481399953365,1.110739380121231
16,10.677365142852068,1.1044309735298157
17,10.680389430373907,1.100727654993534
18,10.661875102669,1.1031258292496204
19,10.660702798515558,1.102023333311081
20,10.652133721858263,1.1178500093519688
21,10.665780041366816,1.1091231629252434
22,10.64417226985097,1.097318023443222
23,10.6460497751832,1.101351622492075
24,10.617651365697384,1.113955419510603
25,10.637913644313812,1.1073067933321
26,10.615965764969587,1.0992770679295063
27,10.63415101915598,1.097023580223322
28,10.632901508361101,1.0970554128289223
29,10.608629830181599,1.1012292057275772
30,10.608763616532087,1.0955258905887604
31,10.609849162399769,1.0994183085858822
32,10.610715392977,1.099859744310379
33,10.58526936173439,1.0987090952694416
34,10.598700698465109,1.0997618921101093
35,10.603023447096348,1.096379317343235
36,10.609276343137026,1.0966774560511112
37,10.594543244689703,1.0963549055159092
38,10.596686612814665,1.095094308257103
39,10.586907621473074,1.0964644588530064
40,10.607309229671955,1.0946499705314636
41,10.587579850107431,1.0983864143490791
42,10.585817139595747,1.0991366766393185
43,10.588017098605633,1.0980943441390991
44,10.587003290653229,1.0990168526768684
45,10.586636256426573,1.0983410626649857
46,10.57571965828538,1.0967960059642792
47,10.583855342119932,1.097504947334528
48,10.575144354254007,1.0994163677096367
49,10.575004510581493,1.0969148427248
50,10.586581751704216,1.0957978069782257
51,10.580990206450224,1.0967059209942818
52,10.58662847429514,1.0969699136912823
53,10.582039453089237,1.096819519996643
54,10.578922916203737,1.096420306712389
55,10.593961488455534,1.0970232598483562
56,10.58653051033616,1.0968916825950146
57,10.572878390550613,1.0972991958260536
58,10.580513097345829,1.0973402112722397
59,10.590661991387606,1.0969779528677464
60,10.574530638754368,1.0971079394221306
61,10.580711290240288,1.096923504024744
62,10.574858147650957,1.096965879201889
63,10.577710203826427,1.0972012914717197
64,10.591244414448738,1.096861731261015
65,10.581527102738619,1.0970295369625092
66,10.574226703494787,1.0969745703041553
67,10.57690716162324,1.0970548316836357
68,10.586466677486897,1.0969386398792267
69,10.573641031980515,1.096922442317009
70,10.585494223982096,1.0970401838421822
71,10.574797343462706,1.0971201546490192
72,10.576288726180792,1.0969554781913757
73,10.5805808827281,1.0969401150941849
74,10.571191124618053,1.0969205349683762
75,10.579584416002035,1.097024541348219
76,10.585307534784079,1.0969989225268364
77,10.56913823261857,1.096962384879589
78,10.578248929232359,1.0969587340950966
79,10.57491672411561,1.0970049351453781
80,10.584045760333538,1.0969765298068523
81,10.583200056105852,1.0969315990805626
82,10.57163953781128,1.096967440098524
83,10.573450531810522,1.0969803631305695
84,10.582220397889614,1.0970123335719109
85,10.579924445599318,1.0970454886555672
86,10.576033361256123,1.097041018307209
87,10.578147184103727,1.0970223620533943
88,10.57846937701106,1.0970466062426567
89,10.587807312607765,1.0970244780182838
90,10.57904801890254,1.0970189347863197
91,10.588262990117073,1.0970159322023392
92,10.573260683566332,1.0970196016132832
93,10.572201926261187,1.0970195047557354
94,10.579314891248941,1.097007043659687
95,10.579830177128315,1.0970134176313877
96,10.581146702170372,1.0970158204436302
97,10.572996620088816,1.0970095992088318
98,10.576837502419949,1.0970090478658676
99,10.578748315572739,1.09701057523489
