epoch,training loss,validation loss
0,18.80326640419662,4.478866409510374
1,17.21934647485614,2.9616292156279087
2,11.09485423984006,2.1299554933793843
3,8.622417099308223,1.7602597032673657
4,8.389336924999952,2.066511433571577
5,8.151729241013527,2.093459858559072
6,8.047842386644334,1.670614113099873
7,7.864337261766195,1.54705666936934
8,7.695658570155501,1.5491751511581242
9,7.643268087413162,1.9279851079918444
10,7.703074804972857,1.5197463282383978
11,7.522479852195829,1.5122826863080263
12,7.472221470437944,1.5618492648936808
13,7.502036206424236,1.5273894062265754
14,7.409815922379494,1.5804924853146076
15,7.437953868880868,1.5688409390859306
16,7.397873465437442,1.5665741059929132
17,7.230485030449927,1.4734228174202144
18,7.27734894445166,1.57500163000077
19,7.183880819473416,1.5014360207132995
20,7.193533760029823,1.4852002412080765
21,7.169223008211702,1.69444780331105
22,7.202415421139449,1.4695812030695379
23,7.183457190170884,1.4795796810649335
24,7.111492627765983,1.4963815174996853
25,7.143359005451202,1.536001944448799
26,7.09556225920096,1.4956495873630047
27,7.1158574926666915,1.5002338723279536
28,6.995379615109414,1.5062903468497097
29,6.951805792283267,1.4462348204106092
30,7.029463939368725,1.4923001076094806
31,7.029911516001448,1.440048631746322
32,7.005350800231099,1.4972794456407428
33,6.922389041166753,1.4636666532605886
34,7.005942817777395,1.5236391923390329
35,6.969934179913253,1.4701346792280674
36,6.977693966124207,1.4732702700421214
37,6.974740806501359,1.4550016140565276
38,7.01960466010496,1.4545551058836281
39,6.938808156643063,1.4413127484731376
40,6.906742096878588,1.456910923589021
41,6.917878584936261,1.455382266547531
42,6.8962663765996695,1.442050018813461
43,6.947891413234174,1.4427878661081195
44,6.944139859639108,1.4385069380514324
45,6.926669574342668,1.4800965785980225
46,6.818358200602233,1.4451519171707332
47,6.93272599298507,1.4594947323203087
48,6.902718256227672,1.433979392517358
49,6.8634959037881345,1.4390313955955207
50,6.924384489189833,1.437194099649787
51,6.814682722557336,1.4407673249952495
52,6.881405533757061,1.4392093075439334
53,6.821207811590284,1.4330954570323229
54,6.892194654792547,1.4308960568159819
55,6.9039175398647785,1.4305953518487513
56,6.864019849803299,1.440345052164048
57,6.824488203972578,1.4400306404568255
58,6.864320340566337,1.4430102105252445
59,6.911628959700465,1.4334187470376492
60,6.907137439586222,1.4358248366042972
61,6.78054768871516,1.4334599473513663
62,6.832571065751836,1.4314061724580824
63,6.777175038587302,1.4314997023902833
64,6.812448965385556,1.4300985974259675
65,6.743423828855157,1.4273110977374017
66,6.919408509042114,1.426064743194729
67,6.8104541902430356,1.4371800986118615
68,6.745865082368255,1.427142676897347
69,6.78973823459819,1.439956380520016
70,6.838652762584388,1.4302803194150329
71,6.864985880441964,1.4297315049916506
72,6.835606979206204,1.4282933482900262
73,6.884856626391411,1.4300031694583595
74,6.8062711684033275,1.4328811052255332
75,6.849481333978474,1.4323824527673423
76,6.856422867625952,1.4276009863242507
77,6.8317988235503435,1.4300496773794293
78,6.897918616421521,1.4264313681051135
79,6.74952710326761,1.4287253026850522
80,6.821124812122434,1.430652340874076
81,6.796795578673482,1.4307160177268088
82,6.839818352367729,1.4281860999763012
83,6.874334702733904,1.4305120324715972
84,6.907318189041689,1.4332645912654698
85,6.831862958148122,1.4294850043952465
86,6.7918303539045155,1.4285084372386336
87,6.862121303100139,1.4306275476701558
88,6.806151887169108,1.4275915762409568
89,6.816782017238438,1.4286879980936646
90,6.831238555721939,1.4290158580988646
91,6.845142789185047,1.4285988099873066
92,6.85053825378418,1.4293040060438216
93,6.893656420987099,1.430072722490877
94,6.804709249176085,1.4291314142756164
95,6.884500247426331,1.4295932864770293
96,6.84104426857084,1.430543000344187
97,6.797452034894377,1.430028861388564
98,6.8247283371165395,1.4311957946047187
99,6.856274256017059,1.4297382258810103
